Nome ,Categoria,Endereço,Telefone - Google,Whatsapp,Site,Categoria de Preço,Nota,Avaliações,URL Google Maps,Socios,Faturamento,Capital Social,Quadro de Funcionarios,CNPJ,Instagram,Buscar Instagram Socios?,Instagram Socios
Clínica Odontológica | Rede Odonto Valparaíso,Clínica odontológica,"Etapa A, 01 - Sl 501 - 5º andar - Valparaiso I, Valparaíso de Goiás - GO, 72876-036, Brasil",55 61 98414-9217,(61) 98414-9217,https://conteudo.redeodonto.com.br/rede-odonto-valparaiso-form,,"4,8",412, https://maps.google.com/?cid=5850274785233160111,"JEAN MICHEL RIBEIRO AMADEU, LUIZA GOMES OLIVEIRA, REDE FOUR PARTICIPACOES LTDA","R$ 4800001,00 a R$ 20000000,00",300000,100 A 500 COLABORADORES,31795763000108,https://www.instagram.com/redeodonto.valparaiso,,
A1 Implantes | Clínica Odontológica no Valparaíso,Clínica odontológica,"Etapa A, lote 20 - Valparaizo I, Valparaíso de Goiás - GO, 72876-030, Brasil",55 61 99259-2172,556192592172,https://a1implantes.com.br/,,"4,9",445, https://maps.google.com/?cid=10365435659477777365,"MARIA CECILIA PEREIRA NUNES, ADRIANO SOARES FARIAS","R$ 81001,00 a R$ 3600000,00",50000,3 A 9 COLABORADORES,52263882000181,https://www.instagram.com/a1implantes,,
DR. Sorria Odontologia Valparaiso,Clínica odontológica,"BR-040, Shopping sul - Parque Esplanada III, Valparaíso de Goiás - GO, 72876-902, Brasil",55 61 99657-0523,5561996570523,https://drsorriavalparaiso.com.br/,,"4,8",283, https://maps.google.com/?cid=745630946076171766,JOAO GABRIEL ELEOTERIO COSTA,"R$ 81001,00 a R$ 3600000,00",100000,3 A 9 COLABORADORES,59715832000137,https://www.instagram.com/drsorria_valparaiso,,
Clínica Sorriso Valparaíso,Clínica odontológica,"quadra 33 lote 06 sala 201 e 203 - Parque Esplanada III, Valparaíso de Goiás - GO, 72876-333, Brasil",55 61 98290-7900,5561982907900,https://clinicasorriso.com/,,"4,9",55, https://maps.google.com/?cid=7020182936368763574,"MARCELO FERNANDES FELIX, FRANCISCO HENRIQUE QUEIROZ DA JUSTA","R$ 81001,00 a R$ 3600000,00",10000,3 A 9 COLABORADORES,8681718000100,https://www.instagram.com/clinicasorrisovalparaiso,,
Coife Odonto Valparaíso,Clínica odontológica,"Rua 15. Q 50 L 10, S/N - Casa 2 - Morada Nobre, Valparaíso de Goiás - GO, 72870-374, Brasil",55 61 99889-0088,NÃO ENCONTRADO,http://coifeodonto.com.br/,,"4,8",139, https://maps.google.com/?cid=6335479388960600726,"BRUNA APARECIDA SOUZA DE OLIVEIRA, DANILO KAIO DE MATOS SILVA","R$ 81001,00 a R$ 3600000,00",300000,3 A 9 COLABORADORES,50643027000170,https://www.instagram.com/coifeodonto,,
Primedents Valparaíso,Dentista,"Qd 10, Lt 08, Ed. Tora, primeiro andar, Etapa A - Valparaíso I, Valparaíso de Goiás - GO, 72876-030, Brasil",55 61 3025-4540,5561991200185,https://primedentsvalparaiso.keepo.bio/,,"4,8",326, https://maps.google.com/?cid=5419383883736607615,"JULIANA MARIA MOREIRA KANEGAE, BRUNO DA SILVA FERREIRA","R$ 360001,00 a R$ 4800000,00",50000,20 A 99 COLABORADORES,19298704000110,https://www.instagram.com/primedentsvalparaiso/,,
Clínica Odonto Júnior Valparaíso,Clínica odontológica,"Avenida Comercial, Quadra 06 - Lote 28 - Valparaizo II, Valparaíso de Goiás - GO, 72870-106, Brasil",55 61 3629-6727,NÃO ENCONTRADO,https://odontojuniorvalparaiso.com.br/,,"4,6",37, https://maps.google.com/?cid=10950927145175430805,"ATHOS FURTADO SILVA, GISLENE TAVARES DA SILVA","R$ 81001,00 a R$ 3600000,00",25200,3 A 9 COLABORADORES,28742514000131,https://www.instagram.com/clinica_odontojunior/,,
Sorriso Clean,Clínica odontológica,"Quadra 55, 01 - Lojas 02,03 - Parque Esplanada III, Valparaíso de Goiás - GO, 72876-355, Brasil",55 61 99285-6131,,,,"4,9",309, https://maps.google.com/?cid=9673459648463907873,THIAGO JOHNATHAN PEREIRA DA SILVA,"R$ 81001,00 a R$ 3600000,00",50000,3 A 9 COLABORADORES,48028792000139,https://www.instagram.com/sorrisoclean.clin/,,
OdontoCompany Valparaíso,Clínica odontológica,"R. 18, Quadra 60 - Lote 12 - Novo Jardim Oriente, Valparaíso de Goiás - GO, 72870-217, Brasil",55 61 3622-4412,NÃO ENCONTRADO,https://odontocompanybsb.com.br/,,"3,9",297, https://maps.google.com/?cid=16373973334718693904,RAUL ALEXANDER DE SOUSA FERREIRA,"R$ 81001,00 a R$ 3600000,00",50000,3 A 9 COLABORADORES,29273294000107,Não Encontrado,,
Experience Odonto Valparaíso,Dentista,"R. 19, quadra 60 - lote 17 sala 104 - Jardim Oriente, Valparaíso de Goiás - GO, 72870-219, Brasil",55 61 3629-5605,,,,"4,9",82, https://maps.google.com/?cid=11918156929449666821,"JESSICA RIBEIRO DA SILVA, WELLINGTON DE AGUIAR RICARDO","R$ 81001,00 a R$ 3600000,00",30000,3 A 9 COLABORADORES,37657108000161,https://www.instagram.com/experience.odonto/,,
Top Odonto - Clínica Integrada,Dentista,"Quadra 17, Lote 01, Loja 01 - Parque Rio Branco, Valparaíso de Goiás - GO, 72870-086, Brasil",55 61 3025-5858,NÃO ENCONTRADO,https://topodontovalparaiso.com.br/,,"4,9",132, https://maps.google.com/?cid=2624709385938943906,"RILDO ECIO FRANCELINO DE SOUSA, RONAN MENDES SOARES","R$ 81001,00 a R$ 3600000,00",50000,3 A 9 COLABORADORES,55972664000104,https://www.instagram.com/topodonto_/,,
