
 Lista de Imóveis da Caixa;;Data de geração:;19/05/2026;;;;;;;
 N° do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Financiamento;Descrição;Modalidade de venda;Link de acesso

 10137653 ;DF ;BRASILIA ;SETOR BANCARIO SUL ;SBS QUADRA 1 BL K LOJA, N. 04 ;246.832,25;700.000,00;64.74;Não;Loja, 0.00 de área total, 79.15 de área privativa, 0.00 de área do terreno.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10137653
 8787707614558 ;DF ;BRASILIA ;SETOR MEIRELES (SANTA MARIA) ;RUA 200, N. SN, Apto 402, BL 25 ;130.553,32;216.000,00;39.56;Não;Apartamento, 147.61 de área total, 60.50 de área privativa, 0.00 de área do terreno,  3 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787707614558
 10215739 ;DF ;BRASILIA ;ALTO DA BOA VISTA (SOBRADINHO) ;RODOVIA BR-020, N. 00, BL B, LT 12, ENTRE QUADRA 101/102 ;239.152,19;395.000,00;39.46;Não;Terreno, 0.00 de área total, 0.00 de área privativa, 250.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10215739
 1444416526775 ;DF ;BRASILIA ;SETOR DE INDUSTRIAS GRAFICAS ;QUADRA 04 SIG SUL, N. SN, Apto 219, LT 75 ENTRADA B VG 371 ;307.583,81;495.000,00;37.87;Sim;Sala, 35.32 de área total, 35.32 de área privativa, 0.00 de área do terreno, WC, 1 sala(s), 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444416526775
 1444420706952 ;DF ;BRASILIA ;SAMAMBAIA ; QUADRA QN 225, N. SN, LT 01 ;161.240,52;253.000,00;36.27;Sim;Casa, 150.00 de área total, 150.00 de área privativa, 168.66 de área do terreno,  3 qto(s), 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444420706952
 1444400617326 ;DF ;BRASILIA ;CEILANDIA NORTE ;QNN-03, N. S/N, CONJUNTO P, LT 10 ;407.881,15;640.000,00;36.27;Sim;Casa, 0.00 de área total, 340.00 de área privativa, 250.00 de área do terreno, 4 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444400617326
 8444428274707 ;DF ;BRASILIA ;SAMAMBAIA NORTE ;QUADRA QR, N. SN, LOTE 20 CONJUNTO 2 QUADRA QR 1031 ;212.862,98;334.000,00;36.27;Sim;Casa, 108.00 de área total, 108.00 de área privativa, 112.50 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444428274707
 1787701797717 ;DF ;BRASILIA ;SAMAMBAIA SUL ;QUADRA 301, N. 0, Apto 504, TORRE C, LT 1, CJ 8, QD 301 ;186.095,78;292.000,00;36.27;Não;Apartamento, 92.57 de área total, 54.10 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1787701797717
 8787717354648 ;DF ;BRASILIA ;ITAPOA PARQUE (ITAPOA) ;QUADRA 401, N. S/N, Apto 04, BL C2 LT 11 CJ 02 ;132.692,70;170.000,00;21.95;Não;Apartamento, 63.48 de área total, 46.40 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787717354648
 8444430025450 ;DF ;BRASILIA ;SAMAMBAIA ; QUADRA QN 108, N. SN, Apto 304, ENTR C BL C CONJ 1 LT 1 ;165.000,00;165.000,00;0.00;Não;Apartamento, 47.52 de área total, 43.15 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444430025450
 8787705785363 ;DF ;BRASILIA ;SET HAB ITAPOA ;QUADRA 502 - CONJUNTO 02, N. SN, Apto 01, LT 11 BL B1 ;183.400,00;183.400,00;0.00;Não;Apartamento, 63.37 de área total, 46.40 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787705785363
 1444412018856 ;DF ;BRASILIA ;PARK WAY ;SMPW QUADRA 29, N. SN, UN B CJ 03 LT 08 SMPW/SUL ;1.628.000,00;1.628.000,00;0.00;Não;Casa, 364.00 de área total, 364.00 de área privativa, 2130.00 de área do terreno,  4 qto(s), a.serv, WC, WC Emp, 1 sala(s), DCE, cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444412018856
 8787710228663 ;DF ;BRASILIA ;SAMAMBAIA NORTE ; QUADRA 101 - CONJUNTO 4, N. .LOTE 04, Apto 702, BLOCO C ;200.000,00;200.000,00;0.00;Não;Apartamento, 45.38 de área total, 33.56 de área privativa, 0.00 de área do terreno,  1 qto(s), WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787710228663
 1444411500298 ;DF ;BRASILIA ;RECANTO DAS EMAS ; QUADRA 406, N. SN, LT 20 CONJ N ;380.000,00;380.000,00;0.00;Não;Casa, 220.00 de área total, 89.76 de área privativa, 225.00 de área do terreno,  3 qto(s), 2 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444411500298
 1787702135025 ;DF ;BRASILIA ;ITAPOA PARQUE (ITAPOA) ;QUADRA 501 CONJUNTO 2, N. SN, Apto 301, LT 01 BL E2 ;180.000,00;180.000,00;0.00;Não;Apartamento, 63.48 de área total, 46.40 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1787702135025
 8787708736525 ;DF ;BRASILIA ;ITAPOA PARQUE (ITAPOA) ;QUADRA 502, N. SN, Apto 03, BL D1 LT 08 CJ 01 ;140.000,00;140.000,00;0.00;Não;Apartamento, 63.60 de área total, 46.40 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787708736525
 8787708904339 ;DF ;BRASILIA ;ITAPOA PARQUE (ITAPOA) ;QUADRA 502, N. SN, Apto 304, LT 05 BL C2 ;190.000,00;190.000,00;0.00;Não;Apartamento, 63.61 de área total, 46.40 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787708904339
 8787711355103 ;DF ;BRASILIA ;ITAPOA PARQUE (ITAPOA) ;QUADRA 501, N. SN, Apto 204, BL D2 LT 06 CJ 02 ;177.500,00;177.500,00;0.00;Não;Apartamento, 63.69 de área total, 46.40 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787711355103
 8787714212079 ;DF ;BRASILIA ;RECANTO DAS EMAS ;AVENIDA BURITI, N. SN, Apto 240, LT 05 ;266.979,70;240.000,00;0.00;Não;Apartamento, 74.33 de área total, 45.04 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787714212079
 8787719292771 ;DF ;BRASILIA ;SAMAMBAIA ; AREA 2 QD QN 110, N. SN, Apto 1104, TR 3 ;307.536,80;270.394,89;0.00;Não;Apartamento, 85.82 de área total, 45.32 de área privativa, 0.00 de área do terreno,  1 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787719292771
 10300590 ;DF ;BRASILIA ;ASA NORTE ;SRTVN - LOTE P, N. 00, LJ SS-35, 1 SS, CJ P ;310.000,00;232.000,00;0.00;Sim;Loja, 0.00 de área total, 50.00 de área privativa, 0.00 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10300590
 10300591 ;DF ;BRASILIA ;ASA NORTE ;SRTVN - LOTE P, N. 00, LJ SS-34, 1 SS, CJ P ;310.000,00;232.000,00;0.00;Sim;Loja, 0.00 de área total, 50.00 de área privativa, 0.00 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10300591
 10300792 ;DF ;BRASILIA ;ASA NORTE ;SRTVN - LOTE P, N. 00, LJ SS-36, 1 SS, CJ P ;310.000,00;232.000,00;0.00;Sim;Loja, 0.00 de área total, 50.00 de área privativa, 0.00 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10300792
 10286322 ;DF ;BRASILIA ;ASA SUL ;SETOR SDS, N. 208, SALA 208 ED VENANCIO VI ;212.111,63;87.000,00;0.00;Não;Sala, 0.00 de área total, 18.53 de área privativa, 0.00 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10286322
 8555537319371 ;DF ;CEILANDIA ;CEILANDIA ;QNN 11, N. SN, Apto 506, VIA NN 11/B, LT 05 ;100.741,08;170.000,00;40.75;Não;Apartamento, 50.13 de área total, 31.36 de área privativa, 0.00 de área do terreno,  1 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555537319371
 8787708332360 ;DF ;CEILANDIA ;CEILANDIA ;QNM 29, N. 0, Apto 805, TORRE 02, AREA ESPECIAL J ;154.300,73;252.000,00;38.77;Não;Apartamento, 88.44 de área total, 44.67 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787708332360
 1444417048206 ;DF ;CEILANDIA ;CEILANDIA SUL ;QNN 24, N. SN, CJ H LT 43 ;391.470,30;630.000,00;37.87;Sim;Casa, 165.00 de área total, 24.01 de área privativa, 144.00 de área do terreno, a.serv, cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444417048206
 8444409770141 ;DF ;CEILANDIA ;CEILANDIA NORTE ;QNP 13, N. SN, CJ C LT13 ;356.896,01;560.000,00;36.27;Sim;Casa, 252.41 de área total, 252.41 de área privativa, 135.00 de área do terreno,  5 qto(s), a.serv, WC, 3 sala(s), 2 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444409770141
 1444402821001 ;DF ;CEILANDIA ;CEILANDIA NORTE ;QD 5 CJ L LT 11, N. 11, ;231.316,47;231.316,47;0.00;Não;Casa, 129.00 de área total, 129.00 de área privativa, 250.00 de área do terreno,  2 qto(s), a.serv, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444402821001
 1555515916255 ;DF ;CEILANDIA ;CEILANDIA NORTE ;QUADRA 17, N. SN, LT 08 CONJ 14 ;319.000,00;319.000,00;0.00;Não;Casa, 160.00 de área total, 91.13 de área privativa, 132.00 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1555515916255
 1555526490203 ;DF ;CEILANDIA ;CEILANDIA NORTE ;QNO 12 AREA ESPECIAL I, N. SN, Apto 406, BL B ;255.000,00;255.000,00;0.00;Não;Apartamento, 91.49 de área total, 49.30 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1555526490203
 8444420802623 ;DF ;CEILANDIA ;CEILANDIA NORTE ;QNP 15, N. SN,  LT 45 ;247.000,00;247.000,00;0.00;Não;Casa, 115.00 de área total, 45.77 de área privativa, 135.00 de área do terreno,  3 qto(s), 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444420802623
