
 Lista de Imóveis da Caixa;;Data de geração:;19/05/2026;;;;;;;
 N° do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Financiamento;Descrição;Modalidade de venda;Link de acesso

 8787717076923 ;GO ;ABADIA DE GOIAS ;CENTRO ; AVENIDA  PATRIARCA, N. 1070, Apto 403, BL 10  VG 125   ÁREA 8 ;129.042,28;213.500,00;39.56;Não;Apartamento, 84.71 de área total, 40.95 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787717076923
 8444415706271 ;GO ;ABADIANIA ;LINDO HORIZONTE ;QUADRA 07, N. SN, Apto 102, LT 04 LOT CONTINUAÇÃO LINDO DE HORIZON ;150.017,57;150.017,57;0.00;Não;Apartamento, 108.50 de área total, 55.59 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444415706271
 8787706679800 ;GO ;AGUAS LINDAS DE GOIAS ;JARDIM DA BARRAGEM VI ;QUADRA 72, N. SN, Apto 102, LT 08, RUA 18, VG 02 ;43.302,97;155.000,00;72.07;Não;Apartamento, 0.00 de área total, 63.73 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), sacada, cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787706679800
 8444424701163 ;GO ;AGUAS LINDAS DE GOIAS ;JARDIM AGUAS LINDAS ;QUADRA 6, N. SN, Apto 302, LT 03-C, RUA DOIS ;41.906,10;150.000,00;72.07;Não;Apartamento, 0.00 de área total, 55.62 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444424701163
 8444425591647 ;GO ;AGUAS LINDAS DE GOIAS ;CHACARAS COIMBRA ;RUA ASSUNCAO, N. SN, Apto 201, LT 31, QD B, CHACARA 10/14, MOD C ;56.209,38;175.000,00;67.89;Não;Apartamento, 0.00 de área total, 55.22 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444425591647
 8787703011166 ;GO ;AGUAS LINDAS DE GOIAS ;JARDIM DA BARRAGEM VI ;RUA 18, Apto 202, QD 72, LT 08 ;46.780,05;132.031,49;64.57;Não;Apartamento, 0.00 de área total, 61.72 de área privativa, 0.00 de área do terreno,  2 qto(s), varanda, a.serv, WC, 1 sala(s), 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787703011166
 8444416401393 ;GO ;AGUAS LINDAS DE GOIAS ;JARDIM SANTA LUCIA ;RUA MACAUB MACAUBA, N. SN, Apto 102, QD 23 LT 22 VAGA 04 ;54.001,35;145.000,00;62.76;Não;Apartamento, 0.00 de área total, 53.68 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444416401393
 8444419318748 ;GO ;AGUAS LINDAS DE GOIAS ;JARDIM DA BARRAGEM VI ;RUA 18, Apto 201, QUADRA 72, LOTE 04 ;49.788,03;133.000,00;62.57;Não;Apartamento, 0.00 de área total, 61.72 de área privativa, 0.00 de área do terreno,  2 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444419318748
 8444415303533 ;GO ;AGUAS LINDAS DE GOIAS ;MANSOES IMPERATRIZ ;QUADRA 9, N. S/N, QD 09 LT 06 CS 05 ;46.908,39;123.000,00;61.87;Não;Casa, 0.00 de área total, 90.51 de área privativa, 200.00 de área do terreno,  2 qto(s), varanda, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444415303533
 8444415775737 ;GO ;AGUAS LINDAS DE GOIAS ;JARDIM DA BARRAGEM I ;0 LOTE 12 QUADRA 8, N. SN, Apto 103 ;46.782,27;120.000,00;61.02;Não;Apartamento, 66.46 de área total, 37.10 de área privativa, 0.00 de área do terreno,  1 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444415775737
 1444420320760 ;GO ;AGUAS LINDAS DE GOIAS ;PARQUE DA BARRAGEM SETOR 07 ;RUA SEIS, N. SN, LT 08 QD 61 ;150.818,02;380.000,00;60.32;Sim;Casa, 0.00 de área total, 135.00 de área privativa, 206.25 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), 1 lavabo(s), cozinha, 1 vaga(s) de garagem.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444420320760
 1444418829430 ;GO ;AGUAS LINDAS DE GOIAS ;JARDIM AMERICA II ;RUA FORMOSA, N. SN, QD 39 LT A2 ;122.241,97;308.000,00;60.32;Não;Apartamento, 0.00 de área total, 159.74 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444418829430
 1444417035716 ;GO ;AGUAS LINDAS DE GOIAS ;CHACARAS QUEDAS DO DESCOBERTO ;QUADRA 42, N. SN, CS 04, LT 1001 ;147.246,02;371.000,00;60.32;Sim;Casa, 0.00 de área total, 135.20 de área privativa, 157.63 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444417035716
 8444418101320 ;GO ;AGUAS LINDAS DE GOIAS ;JARDIM SANTA LUCIA ;LOTE 03 DA QUADRA 31 DO LOTEAMENTO JARDIM SANTA LU, N. SN, Apto 102 ;57.858,59;145.000,00;60.10;Não;Apartamento, 72.00 de área total, 53.68 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444418101320
 8444422128580 ;GO ;AGUAS LINDAS DE GOIAS ;MANSOES ILHA BELA ;QUADRA 5, N. S/N, CS J LT 11 RUA 11 ;76.025,12;188.000,00;59.57;Não;Casa, 0.00 de área total, 69.90 de área privativa, 150.45 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444422128580
 8444429254351 ;GO ;AGUAS LINDAS DE GOIAS ;PARQUE DA BARRAGEM SETOR 12 ;QUADRA 76, N. S/N, LT 01-A11 CJ B  RUA 35 ;42.078,93;103.000,00;59.15;Não;Casa, 0.00 de área total, 64.35 de área privativa, 220.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444429254351
 8555515917713 ;GO ;AGUAS LINDAS DE GOIAS ;CIDADE JARDIM ;QUADRA 105, N. SN, LT 04, RUA 35 ;46.164,26;113.000,00;59.15;Não;Casa, 0.00 de área total, 59.81 de área privativa, 200.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555515917713
 8444431164119 ;GO ;AGUAS LINDAS DE GOIAS ;JARDIM GUAIRA I ;QUADRA 1, N. SN, Apto 6, LT 12 ;44.121,60;108.000,00;59.15;Não;Apartamento, 0.00 de área total, 38.22 de área privativa, 0.00 de área do terreno,  1 qto(s), a.serv, WC.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444431164119
 8444403502013 ;GO ;AGUAS LINDAS DE GOIAS ;JARDIM AMERICA IV ;QUADRA 96, N. SN, LT 39 RUA 04 ;42.551,91;104.157,75;59.15;Não;Casa, 0.00 de área total, 58.81 de área privativa, 200.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444403502013
 8444429552395 ;GO ;AGUAS LINDAS DE GOIAS ;PARQUE DA BARRAGEM SETOR 07 ;QUADRA 61 RUA 26, N. SN, Apto 102, LT 14-A SETOR 07 ;51.236,07;125.000,00;59.02;Não;Apartamento, 0.00 de área total, 68.63 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), sacada, cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444429552395
 8444419905252 ;GO ;AGUAS LINDAS DE GOIAS ;JARDIM AGUAS LINDAS ;RUA DOIS, N. SN, Apto 102, TERREO, LT 03-C, QD 06 ;47.137,18;115.000,00;59.02;Não;Apartamento, 0.00 de área total, 55.62 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444419905252
 1444413646443 ;GO ;AGUAS LINDAS DE GOIAS ;PARQUE DA BARRAGEM SETOR 11 ;QUADRA RUA 85 LOTE 11 CONJUNTO A SETOR 11, N. SN, Apto 102, BLOCO E ;56.186,99;136.000,00;58.69;Não;Apartamento, 0.00 de área total, 58.60 de área privativa, 0.00 de área do terreno,  2 qto(s), 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444413646443
 8444430290994 ;GO ;AGUAS LINDAS DE GOIAS ;PARQUE DA BARRAGEM SETOR 05 ;RUA 1, N. SN, Apto 203, LOT 21B QD 10 CONJ A ;55.946,50;135.000,00;58.56;Não;Apartamento, 0.00 de área total, 48.88 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444430290994
 8444422965813 ;GO ;AGUAS LINDAS DE GOIAS ;PARQUE DA BARRAGEM SETOR 11 ;QUADRA 85, N. SN, Apto 201, CONJ A, RUA 38, BL C, LT 11 ;56.360,92;136.000,00;58.56;Não;Apartamento, 0.00 de área total, 58.60 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444422965813
 8444424825687 ;GO ;AGUAS LINDAS DE GOIAS ;PARQUE DA BARRAGEM SETOR 11 ;QUADRA 98, N. SN, Apto 101, BL B LT 29 VG 05 CONJ A ST 11 ;55.946,50;135.000,00;58.56;Não;Apartamento, 0.00 de área total, 58.17 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), sacada, cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444424825687
 8444425927424 ;GO ;AGUAS LINDAS DE GOIAS ;MANSOES ODISSEIA ;QUADRA 18B, N. SN, Apto 4, 04 PAV 1 LT 04-C AR 27 ;55.532,09;134.000,00;58.56;Não;Apartamento, 0.00 de área total, 57.60 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444425927424
 8444421577720 ;GO ;AGUAS LINDAS DE GOIAS ;JARDIM AGUAS LINDAS II ;AVENIDA NATAL, N. SN, Apto 203, BLOCO B LT 24 QD 08 ;57.189,76;138.000,00;58.56;Não;Apartamento, 0.00 de área total, 56.58 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444421577720
 8444421137925 ;GO ;AGUAS LINDAS DE GOIAS ;CHACARAS QUEDAS DO DESCOBERTO ;QUADRA 48  -  RES CONQUISTA IV, N. SN, Apto 101, LT 05 CJ MOD C RUA RENOVACAO ;53.874,41;130.000,00;58.56;Não;Apartamento, 0.00 de área total, 50.65 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444421137925
